company,tier,sub_cat,status,audit_reason,note,source_tags,xhs_label_count,visible_xhs_same_subcat,matching_saif_count,company_issue
易方达基金,一线公募,公募权益研究员,通过-强,SAIF 角色匹配: 2024 易方达基金管理有限公司 行业研究员; 2025 易方达基金管理有限公司 行业研究员; common_knowledge 可支撑: 头部公募; taxonomy_doc; demo_v1,"全市场公募 AUM 第一,权益条线核心","common_knowledge:头部公募, common_knowledge:头部公募固收, demo_v1, saif:2024, saif:2025, taxonomy_doc, xhs:公募指数研究员:10, xhs:财富管理FOF:1",0,0,2,
易方达基金,一线公募,行业研究员·消费,通过-强,SAIF 角色匹配: 2024 易方达基金管理有限公司 行业研究员; 2025 易方达基金管理有限公司 行业研究员; common_knowledge 可支撑: 头部公募; taxonomy_doc; demo_v1,易方达消费组业内标杆,"common_knowledge:头部公募, common_knowledge:头部公募固收, demo_v1, saif:2024, saif:2025, taxonomy_doc, xhs:公募指数研究员:10, xhs:财富管理FOF:1",0,0,2,
易方达基金,一线公募,公募指数研究员,通过-强,同 sub_cat XHS 标签 10 条; 可见摘录同 sub_cat 2 条; common_knowledge 可支撑: 头部公募; taxonomy_doc; demo_v1,"宽基 ETF 强,XHS 指数赛道 mention 最多","common_knowledge:头部公募, common_knowledge:头部公募固收, demo_v1, saif:2024, saif:2025, taxonomy_doc, xhs:公募指数研究员:10, xhs:财富管理FOF:1",10,2,0,
易方达基金,一线公募,公募基金中后台,通过-强,可见摘录同 sub_cat 1 条; common_knowledge 可支撑: 头部公募; taxonomy_doc; demo_v1,"按行业共识,中后台规模大","common_knowledge:头部公募, common_knowledge:头部公募固收, demo_v1, saif:2024, saif:2025, taxonomy_doc, xhs:公募指数研究员:10, xhs:财富管理FOF:1",0,1,0,
易方达基金,一线公募,信用研究员,通过-强,可见摘录同 sub_cat 2 条; common_knowledge 可支撑: 头部公募固收; taxonomy_doc; demo_v1,"按行业共识,公募固收信用组","common_knowledge:头部公募, common_knowledge:头部公募固收, demo_v1, saif:2024, saif:2025, taxonomy_doc, xhs:公募指数研究员:10, xhs:财富管理FOF:1",0,2,0,
易方达基金,一线公募,固收+多资产,通过-常识/中,common_knowledge 可支撑: 头部公募固收; taxonomy_doc; demo_v1,"按行业共识,固收+规模大","common_knowledge:头部公募, common_knowledge:头部公募固收, demo_v1, saif:2024, saif:2025, taxonomy_doc, xhs:公募指数研究员:10, xhs:财富管理FOF:1",0,0,0,
易方达基金,一线公募,利率宏观策略,通过-常识/中,common_knowledge 可支撑: 头部公募固收; taxonomy_doc; demo_v1,"按行业共识,公募固收利率组","common_knowledge:头部公募, common_knowledge:头部公募固收, demo_v1, saif:2024, saif:2025, taxonomy_doc, xhs:公募指数研究员:10, xhs:财富管理FOF:1",0,0,0,
易方达基金,一线公募,资管FOF,通过-常识/中,common_knowledge 可支撑: 头部公募; taxonomy_doc; demo_v1,FOF 公募头部,"common_knowledge:头部公募, common_knowledge:头部公募固收, demo_v1, saif:2024, saif:2025, taxonomy_doc, xhs:公募指数研究员:10, xhs:财富管理FOF:1",0,0,0,
易方达基金,一线公募,财富管理FOF,通过-强,同 sub_cat XHS 标签 1 条; common_knowledge 可支撑: 头部公募; taxonomy_doc; demo_v1,投顾业务发展中,"common_knowledge:头部公募, common_knowledge:头部公募固收, demo_v1, saif:2024, saif:2025, taxonomy_doc, xhs:公募指数研究员:10, xhs:财富管理FOF:1",1,0,0,
中信证券,头部券商研究所,固收交易员,通过-常识/中,common_knowledge 可支撑: 头部券商/头部券商衍生品; taxonomy_doc,FICC 自营交易头部,"common_knowledge:头部券商, common_knowledge:头部券商自营, common_knowledge:头部券商衍生品, saif:2025, taxonomy_doc, xhs:卖方研究员·宏观策略:2, xhs:卖方研究员·消费医药周期:10, xhs:自营FOF:2",0,0,0,SAIF 表混入“中信建投证券股份有限公司”，属于前缀误伤；中信证券本身仍有 2025 正确行。
中信证券,头部券商研究所,卖方研究员·TMT,通过-强,SAIF 角色匹配: 2025 中信证券股份有限公司 卖方分析师; 2025 中信里昂 卖方分析师; common_knowledge 可支撑: 头部券商; taxonomy_doc,全市场卖方第一,"common_knowledge:头部券商, common_knowledge:头部券商自营, common_knowledge:头部券商衍生品, saif:2025, taxonomy_doc, xhs:卖方研究员·宏观策略:2, xhs:卖方研究员·消费医药周期:10, xhs:自营FOF:2",0,0,2,SAIF 表混入“中信建投证券股份有限公司”，属于前缀误伤；中信证券本身仍有 2025 正确行。
中信证券,头部券商研究所,卖方研究员·消费医药周期,通过-强,同 sub_cat XHS 标签 10 条; 可见摘录同 sub_cat 1 条; SAIF 角色匹配: 2025 中信证券股份有限公司 卖方分析师; 2025 中信里昂 卖方分析师; common_knowledge 可支撑: 头部券商; taxonomy_doc,全行业覆盖,"common_knowledge:头部券商, common_knowledge:头部券商自营, common_knowledge:头部券商衍生品, saif:2025, taxonomy_doc, xhs:卖方研究员·宏观策略:2, xhs:卖方研究员·消费医药周期:10, xhs:自营FOF:2",10,1,2,SAIF 表混入“中信建投证券股份有限公司”，属于前缀误伤；中信证券本身仍有 2025 正确行。
中信证券,头部券商研究所,卖方研究员·宏观策略,通过-强,同 sub_cat XHS 标签 2 条; SAIF 角色匹配: 2025 中信证券股份有限公司 卖方分析师; 2025 中信里昂 卖方分析师; common_knowledge 可支撑: 头部券商; taxonomy_doc,全市场宏观首席,"common_knowledge:头部券商, common_knowledge:头部券商自营, common_knowledge:头部券商衍生品, saif:2025, taxonomy_doc, xhs:卖方研究员·宏观策略:2, xhs:卖方研究员·消费医药周期:10, xhs:自营FOF:2",2,0,2,SAIF 表混入“中信建投证券股份有限公司”，属于前缀误伤；中信证券本身仍有 2025 正确行。
中信证券,头部券商研究所,买方 Quant,通过-强,可见摘录同 sub_cat 1 条; common_knowledge 可支撑: 头部券商自营; taxonomy_doc,"按行业共识,头部券商自营 Quant","common_knowledge:头部券商, common_knowledge:头部券商自营, common_knowledge:头部券商衍生品, saif:2025, taxonomy_doc, xhs:卖方研究员·宏观策略:2, xhs:卖方研究员·消费医药周期:10, xhs:自营FOF:2",0,1,0,SAIF 表混入“中信建投证券股份有限公司”，属于前缀误伤；中信证券本身仍有 2025 正确行。
中信证券,头部券商研究所,投行 IBD,通过-常识/中,common_knowledge 可支撑: 头部券商; taxonomy_doc,"按行业共识,A 股 IPO 第一","common_knowledge:头部券商, common_knowledge:头部券商自营, common_knowledge:头部券商衍生品, saif:2025, taxonomy_doc, xhs:卖方研究员·宏观策略:2, xhs:卖方研究员·消费医药周期:10, xhs:自营FOF:2",0,0,0,SAIF 表混入“中信建投证券股份有限公司”，属于前缀误伤；中信证券本身仍有 2025 正确行。
中信证券,头部券商研究所,自营FOF,通过-强,同 sub_cat XHS 标签 2 条; common_knowledge 可支撑: 头部券商自营; taxonomy_doc,券商自营 FOF 头部,"common_knowledge:头部券商, common_knowledge:头部券商自营, common_knowledge:头部券商衍生品, saif:2025, taxonomy_doc, xhs:卖方研究员·宏观策略:2, xhs:卖方研究员·消费医药周期:10, xhs:自营FOF:2",2,0,0,SAIF 表混入“中信建投证券股份有限公司”，属于前缀误伤；中信证券本身仍有 2025 正确行。
中信证券,头部券商研究所,结构化产品衍生品,通过-常识/中,common_knowledge 可支撑: 头部券商衍生品; taxonomy_doc,"按行业共识,衍生品做市头部","common_knowledge:头部券商, common_knowledge:头部券商自营, common_knowledge:头部券商衍生品, saif:2025, taxonomy_doc, xhs:卖方研究员·宏观策略:2, xhs:卖方研究员·消费医药周期:10, xhs:自营FOF:2",0,0,0,SAIF 表混入“中信建投证券股份有限公司”，属于前缀误伤；中信证券本身仍有 2025 正确行。
中金公司,头部券商研究所,利率宏观策略,弱支撑,taxonomy_doc; demo_v1,宏观利率研究领军,"common_knowledge:头部券商, common_knowledge:头部券商自营, demo_v1, saif:2025, taxonomy_doc, xhs:卖方研究员·宏观策略:12, xhs:卖方研究员·消费医药周期:4",0,0,0,source 含 saif:2025，但本节没有 SAIF 校友流向表；建议合并/指向“中国国际金融”SAIF 证据。
中金公司,头部券商研究所,卖方研究员·TMT,通过-强,可见摘录同 sub_cat 3 条; common_knowledge 可支撑: 头部券商; taxonomy_doc; demo_v1,TMT 研究领军,"common_knowledge:头部券商, common_knowledge:头部券商自营, demo_v1, saif:2025, taxonomy_doc, xhs:卖方研究员·宏观策略:12, xhs:卖方研究员·消费医药周期:4",0,3,0,source 含 saif:2025，但本节没有 SAIF 校友流向表；建议合并/指向“中国国际金融”SAIF 证据。
中金公司,头部券商研究所,卖方研究员·消费医药周期,通过-强,同 sub_cat XHS 标签 4 条; common_knowledge 可支撑: 头部券商; taxonomy_doc; demo_v1,三中一华之一,"common_knowledge:头部券商, common_knowledge:头部券商自营, demo_v1, saif:2025, taxonomy_doc, xhs:卖方研究员·宏观策略:12, xhs:卖方研究员·消费医药周期:4",4,0,0,source 含 saif:2025，但本节没有 SAIF 校友流向表；建议合并/指向“中国国际金融”SAIF 证据。
中金公司,头部券商研究所,卖方研究员·宏观策略,通过-强,同 sub_cat XHS 标签 12 条; 可见摘录同 sub_cat 2 条; common_knowledge 可支撑: 头部券商; taxonomy_doc; demo_v1,宏观研究领军,"common_knowledge:头部券商, common_knowledge:头部券商自营, demo_v1, saif:2025, taxonomy_doc, xhs:卖方研究员·宏观策略:12, xhs:卖方研究员·消费医药周期:4",12,2,0,source 含 saif:2025，但本节没有 SAIF 校友流向表；建议合并/指向“中国国际金融”SAIF 证据。
中金公司,头部券商研究所,买方 Quant,通过-常识/中,common_knowledge 可支撑: 头部券商自营; taxonomy_doc; demo_v1,按行业共识,"common_knowledge:头部券商, common_knowledge:头部券商自营, demo_v1, saif:2025, taxonomy_doc, xhs:卖方研究员·宏观策略:12, xhs:卖方研究员·消费医药周期:4",0,0,0,source 含 saif:2025，但本节没有 SAIF 校友流向表；建议合并/指向“中国国际金融”SAIF 证据。
中金公司,头部券商研究所,投行 IBD,通过-常识/中,common_knowledge 可支撑: 头部券商; taxonomy_doc; demo_v1,投行业务头部,"common_knowledge:头部券商, common_knowledge:头部券商自营, demo_v1, saif:2025, taxonomy_doc, xhs:卖方研究员·宏观策略:12, xhs:卖方研究员·消费医药周期:4",0,0,0,source 含 saif:2025，但本节没有 SAIF 校友流向表；建议合并/指向“中国国际金融”SAIF 证据。
中金公司,头部券商研究所,结构化产品衍生品,弱支撑,taxonomy_doc; demo_v1,场外衍生品头部,"common_knowledge:头部券商, common_knowledge:头部券商自营, demo_v1, saif:2025, taxonomy_doc, xhs:卖方研究员·宏观策略:12, xhs:卖方研究员·消费医药周期:4",0,0,0,source 含 saif:2025，但本节没有 SAIF 校友流向表；建议合并/指向“中国国际金融”SAIF 证据。
国泰海通证券,头部券商研究所,固收交易员,通过-常识/中,common_knowledge 可支撑: 头部券商/头部券商衍生品; taxonomy_doc,按行业共识,"common_knowledge:头部券商, common_knowledge:头部券商衍生品, saif:2024, taxonomy_doc, xhs:卖方研究员·宏观策略:8, xhs:卖方研究员·消费医药周期:4",0,0,0,source 含 saif:2024，但本节没有 SAIF 校友流向表；若来自国泰君安/海通旧名需列明。
国泰海通证券,头部券商研究所,卖方研究员·TMT,通过-强,可见摘录同 sub_cat 3 条; common_knowledge 可支撑: 头部券商; taxonomy_doc,TMT 研究全覆盖,"common_knowledge:头部券商, common_knowledge:头部券商衍生品, saif:2024, taxonomy_doc, xhs:卖方研究员·宏观策略:8, xhs:卖方研究员·消费医药周期:4",0,3,0,source 含 saif:2024，但本节没有 SAIF 校友流向表；若来自国泰君安/海通旧名需列明。
国泰海通证券,头部券商研究所,卖方研究员·宏观策略,通过-强,同 sub_cat XHS 标签 8 条; 可见摘录同 sub_cat 2 条; common_knowledge 可支撑: 头部券商; taxonomy_doc,宏观研究头部,"common_knowledge:头部券商, common_knowledge:头部券商衍生品, saif:2024, taxonomy_doc, xhs:卖方研究员·宏观策略:8, xhs:卖方研究员·消费医药周期:4",8,2,0,source 含 saif:2024，但本节没有 SAIF 校友流向表；若来自国泰君安/海通旧名需列明。
国泰海通证券,头部券商研究所,资管FOF,弱支撑,taxonomy_doc,券商资管 FOF 头部,"common_knowledge:头部券商, common_knowledge:头部券商衍生品, saif:2024, taxonomy_doc, xhs:卖方研究员·宏观策略:8, xhs:卖方研究员·消费医药周期:4",0,0,0,source 含 saif:2024，但本节没有 SAIF 校友流向表；若来自国泰君安/海通旧名需列明。
国泰海通证券,头部券商研究所,结构化产品衍生品,通过-常识/中,common_knowledge 可支撑: 头部券商衍生品; taxonomy_doc,按行业共识,"common_knowledge:头部券商, common_knowledge:头部券商衍生品, saif:2024, taxonomy_doc, xhs:卖方研究员·宏观策略:8, xhs:卖方研究员·消费医药周期:4",0,0,0,source 含 saif:2024，但本节没有 SAIF 校友流向表；若来自国泰君安/海通旧名需列明。
南方基金,一线公募,公募权益研究员,通过-强,SAIF 角色匹配: 2024 南方基金管理股份有限公司 行业研究员; common_knowledge 可支撑: 头部公募; taxonomy_doc,"老牌一线公募,中后台招聘量近年抬升","common_knowledge:头部公募, saif:2024, taxonomy_doc, xhs:公募指数研究员:2, xhs:自营FOF:2",0,0,1,
南方基金,一线公募,公募指数研究员,通过-强,同 sub_cat XHS 标签 2 条; common_knowledge 可支撑: 头部公募; taxonomy_doc,ETF 老牌玩家,"common_knowledge:头部公募, saif:2024, taxonomy_doc, xhs:公募指数研究员:2, xhs:自营FOF:2",2,0,0,
南方基金,一线公募,公募基金中后台,通过-强,可见摘录同 sub_cat 3 条; common_knowledge 可支撑: 头部公募; taxonomy_doc,中后台风控/产品近年扩招,"common_knowledge:头部公募, saif:2024, taxonomy_doc, xhs:公募指数研究员:2, xhs:自营FOF:2",0,3,0,
南方基金,一线公募,资管FOF,通过-常识/中,common_knowledge 可支撑: 头部公募; taxonomy_doc,按行业共识,"common_knowledge:头部公募, saif:2024, taxonomy_doc, xhs:公募指数研究员:2, xhs:自营FOF:2",0,0,0,
南方基金,一线公募,自营FOF,通过-强,同 sub_cat XHS 标签 2 条; taxonomy_doc,公募自营 FOF,"common_knowledge:头部公募, saif:2024, taxonomy_doc, xhs:公募指数研究员:2, xhs:自营FOF:2",2,0,0,
九坤投资,头部量化私募,量化研究员·中频,通过-强,SAIF 角色匹配: 2025 九坤投资 量化研究员; common_knowledge 可支撑: 头部量化私募; taxonomy_doc; demo_v1,中频+QD 双线,"common_knowledge:头部量化私募, demo_v1, saif:2025, taxonomy_doc, xhs:量化研究员·高频:6",0,0,1,
九坤投资,头部量化私募,量化研究员·高频,通过-强,同 sub_cat XHS 标签 6 条; SAIF 角色匹配: 2025 九坤投资 量化研究员; common_knowledge 可支撑: 头部量化私募; taxonomy_doc; demo_v1,国内高频/QD 双强,"common_knowledge:头部量化私募, demo_v1, saif:2025, taxonomy_doc, xhs:量化研究员·高频:6",6,0,1,
九坤投资,头部量化私募,量化开发QD,通过-强,SAIF 角色匹配: 2025 九坤投资 量化研究员; common_knowledge 可支撑: 头部量化私募; taxonomy_doc; demo_v1,QD 主战场之一,"common_knowledge:头部量化私募, demo_v1, saif:2025, taxonomy_doc, xhs:量化研究员·高频:6",0,0,1,
九坤投资,头部量化私募,AI 量化工程师,通过-强,SAIF 角色匹配: 2025 九坤投资 量化研究员; common_knowledge 可支撑: 头部量化私募; taxonomy_doc; demo_v1,"按行业共识,AI 量化方向投入大","common_knowledge:头部量化私募, demo_v1, saif:2025, taxonomy_doc, xhs:量化研究员·高频:6",0,0,1,
九坤投资,头部量化私募,量化因子工程师,通过-强,可见摘录同 sub_cat 1 条; SAIF 角色匹配: 2025 九坤投资 量化研究员; common_knowledge 可支撑: 头部量化私募; taxonomy_doc; demo_v1,因子库规模大,"common_knowledge:头部量化私募, demo_v1, saif:2025, taxonomy_doc, xhs:量化研究员·高频:6",0,1,1,
华夏基金,一线公募,公募权益研究员,通过-强,可见摘录同 sub_cat 1 条; SAIF 角色匹配: 2024 华夏基金管理有限公司 行业研究员; 2025 华夏基金管理有限公司 行业研究员; common_knowledge 可支撑: 头部公募; taxonomy_doc; demo_v1,"多赛道大平台,XHS mention 第二高","common_knowledge:头部公募, demo_v1, saif:2024, saif:2025, taxonomy_doc, xhs:公募指数研究员:3",0,1,2,
华夏基金,一线公募,行业研究员·TMT-医药-周期,通过-强,SAIF 角色匹配: 2024 华夏基金管理有限公司 行业研究员; 2025 华夏基金管理有限公司 行业研究员; common_knowledge 可支撑: 头部公募; taxonomy_doc; demo_v1,行业首席齐全,"common_knowledge:头部公募, demo_v1, saif:2024, saif:2025, taxonomy_doc, xhs:公募指数研究员:3",0,0,2,
华夏基金,一线公募,公募指数研究员,通过-强,同 sub_cat XHS 标签 3 条; 可见摘录同 sub_cat 2 条; common_knowledge 可支撑: 头部公募; taxonomy_doc; demo_v1,ETF 市场份额第一,"common_knowledge:头部公募, demo_v1, saif:2024, saif:2025, taxonomy_doc, xhs:公募指数研究员:3",3,2,0,
华夏基金,一线公募,公募基金中后台,通过-常识/中,common_knowledge 可支撑: 头部公募; taxonomy_doc; demo_v1,产品/风控/合规岗大量,"common_knowledge:头部公募, demo_v1, saif:2024, saif:2025, taxonomy_doc, xhs:公募指数研究员:3",0,0,0,
